,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
213,CH,2024-10-03,86.9,-2.73,5.18,"Williams, Devin",668901,642207,,swinging_strike,,,,,9,Mark Vientos strikes out swinging.,F,R,R,MIL,NYM,S,,,0,0,2024,-1.67,-0.23,0.29,1.92,,,596019,0,9,Top,,,,,,,10.74389745432045,-126.00034867154255,-1.026501416144507,-20.071533005395676,28.748406919171646,-34.588814057810275,3.61,1.68,,,,87.2,2691,6.9,775337,596142,641343,668930,687401,642715,694192,663368,686217,53.56,,,,,,,,62,1,Changeup,2,0,0,2,0,2,0,2,Standard,Strategic,272,0.0,-0.063,76.0,8.6,,0.063,,2,-2,0.855,0.145,29,24,30,25,1,3,1,1,,2,3.3,1.67,1.67,21.3
220,FF,2024-10-03,96.1,-2.25,5.36,"Williams, Devin",596019,642207,walk,ball,,,,,11,Francisco Lindor walks.,F,L,R,MIL,NYM,B,,,3,2,2024,-1.06,1.57,-1.63,2.73,,,,0,9,Top,,,,,,,4.128560045960595,-139.81212516534657,-4.927528989622933,-14.881408252658844,35.682764246900916,-10.777844905261832,3.25,1.53,,,,97.1,2467,7.2,775337,596142,641343,668930,687401,642715,694192,663368,686217,53.31,,0.689131,0.7,1,0,0,,61,8,4-Seam Fastball,2,0,0,2,0,2,0,2,Strategic,Standard,221,-0.074,0.333,,,,-0.333,,2,-2,0.929,0.071,29,30,30,31,1,3,1,1,,2,0.93,1.06,-1.06,30.8
227,FF,2024-10-03,96.2,-2.33,5.37,"Williams, Devin",596019,642207,,foul,,,,,2,Francisco Lindor walks.,F,L,R,MIL,NYM,S,,,3,2,2024,-0.92,1.45,-0.15,3.08,,,,0,9,Top,,,,,,,8.007539043090622,-139.84408888587217,-3.81901383016032,-13.85759170062354,32.05677037028854,-12.463704935059209,3.31,1.51,183,83.0,68,97.8,2430,7.3,775337,596142,641343,668930,687401,642715,694192,663368,686217,53.22,,,,,,,,61,7,4-Seam Fastball,2,0,0,2,0,2,0,2,Strategic,Standard,221,0.0,0.0,68.9,6.6,,0.0,88.0,2,-2,0.929,0.071,29,30,30,31,1,3,1,1,,2,1.02,0.92,-0.92,30.5
239,FF,2024-10-03,96.1,-2.32,5.4,"Williams, Devin",596019,642207,,foul,,,,,9,Francisco Lindor walks.,F,L,R,MIL,NYM,S,,,3,2,2024,-0.84,1.52,0.57,1.94,,,,0,9,Top,,,,,,,9.695886613443196,-139.53374593542213,-7.141832581894016,-13.07616680574361,30.765526387851395,-10.793042534697497,3.31,1.51,199,70.9,53,97.7,2509,7.2,775337,596142,641343,668930,687401,642715,694192,663368,686217,53.25,,,,,,,,61,6,4-Seam Fastball,2,0,0,2,0,2,0,2,Strategic,Standard,220,0.0,0.0,72.5,7.1,,0.0,88.0,2,-2,0.929,0.071,29,30,30,31,1,3,1,1,,2,0.95,0.84,-0.84,29.5
244,FF,2024-10-03,96.4,-2.37,5.23,"Williams, Devin",596019,642207,,ball,,,,,11,Francisco Lindor walks.,F,L,R,MIL,NYM,B,,,2,2,2024,-1.14,1.59,-0.95,4.51,,,,0,9,Top,,,,,,,6.491292168079267,-140.18887112875882,0.0901660206920061,-16.512927070184762,33.57562529765246,-11.52873326772488,3.31,1.62,,,,97.7,2536,7.2,775337,596142,641343,668930,687401,642715,694192,663368,686217,53.31,,,,,,,,61,5,4-Seam Fastball,2,0,0,2,0,2,0,2,Strategic,Standard,227,0.0,0.096,,,,-0.096,,2,-2,0.929,0.071,29,30,30,31,1,3,1,1,,2,0.88,1.14,-1.14,25.7
258,CH,2024-10-03,86.2,-2.56,5.13,"Williams, Devin",596019,642207,,ball,,,,,14,Francisco Lindor walks.,F,L,R,MIL,NYM,B,,,1,2,2024,-1.74,-0.48,0.67,0.91,,,,0,9,Top,,,,,,,11.336761842778731,-124.97564150582303,-2.7722324798019136,-20.583450428788648,26.182392899661632,-36.779329798094544,3.31,1.53,,,,86.8,2925,7.0,775337,596142,641343,668930,687401,642715,694192,663368,686217,53.54,,,,,,,,61,4,Changeup,2,0,0,2,0,2,0,2,Strategic,Standard,278,0.0,0.036,,,,-0.036,,2,-2,0.929,0.071,29,30,30,31,1,3,1,1,,2,3.58,1.74,-1.74,18.5
267,FF,2024-10-03,96.4,-2.38,5.2,"Williams, Devin",596019,642207,,swinging_strike,,,,,2,Francisco Lindor walks.,F,L,R,MIL,NYM,S,,,1,1,2024,-1.07,1.39,-0.06,2.79,,,,0,9,Top,,,,,,,8.750264084986886,-140.12948400365795,-4.049191297771599,-16.09261499629362,32.19520467071659,-13.162886076166412,3.31,1.51,,,,98.0,2469,7.3,775337,596142,641343,668930,687401,642715,694192,663368,686217,53.2,,,,,,,,61,3,4-Seam Fastball,2,0,0,2,0,2,0,2,Standard,Standard,226,0.0,-0.051,66.6,6.0,,0.051,,2,-2,0.929,0.071,29,30,30,31,1,3,1,1,,2,1.07,1.07,-1.07,26.0
273,CH,2024-10-03,86.0,-2.63,5.1,"Williams, Devin",596019,642207,,called_strike,,,,,5,Francisco Lindor walks.,F,L,R,MIL,NYM,S,,,1,0,2024,-1.8,-0.1,-0.19,2.13,,,,0,9,Top,,,,,,,9.571138548862947,-124.8030220112689,-0.5318446452194765,-20.789085222801276,26.1290610627017,-33.28320451109911,3.28,1.5,,,,86.9,2719,7.1,775337,596142,641343,668930,687401,642715,694192,663368,686217,53.43,,,,,,,,61,2,Changeup,2,0,0,2,0,2,0,2,Standard,Standard,269,0.0,-0.044,,,,0.044,,2,-2,0.929,0.071,29,30,30,31,1,3,1,1,,2,3.2,1.8,-1.8,17.1
280,FF,2024-10-03,95.8,-2.47,5.4,"Williams, Devin",596019,642207,,ball,,,,,11,Francisco Lindor walks.,F,L,R,MIL,NYM,B,,,0,0,2024,-0.99,1.54,-0.95,3.09,,,,0,9,Top,,,,,,,6.387432260111081,-139.41383922873777,-4.017137002290302,-14.411079376672566,31.4473974501582,-11.362805007942546,3.4,1.56,,,,97.3,2483,7.1,775337,596142,641343,668930,687401,642715,694192,663368,686217,53.37,,,,,,,,61,1,4-Seam Fastball,2,0,0,2,0,2,0,2,Standard,Standard,217,0.0,0.034,,,,-0.034,,2,-2,0.929,0.071,29,30,30,31,1,3,1,1,,2,0.94,0.99,-0.99,28.9
83,FF,2024-10-03,97.6,-2.23,4.58,"Díaz, Edwin",641343,621242,strikeout,swinging_strike,,,,,2,Jake Bauers strikes out swinging.,F,L,R,MIL,NYM,S,2,,1,2,2024,-1.09,1.04,-0.13,3.05,,,,2,8,Bot,,,,,,,8.30366997374483,-141.91696867183256,-0.9859239254677632,-16.62703453715327,34.362794565302366,-18.152362553913065,3.47,1.62,,,,98.9,2375,7.2,775337,682626,624413,578428,668901,596019,607043,621438,516782,53.3,,0.0,0.0,1,0,0,,60,4,4-Seam Fastball,2,0,2,0,0,2,2,0,Infield shade,Standard,233,-0.003,-0.069,76.5,6.6,,0.069,,2,2,0.932,0.932,30,28,30,29,1,1,3,2,3,,1.37,1.09,-1.09,15.3
