,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
129,FF,2024-10-03,98.2,-2.32,4.67,"Díaz, Edwin",642715,621242,,foul,,,,,11,Willy Adames strikes out swinging.,F,R,R,MIL,NYM,S,,,2,2,2024,-1.05,1.09,-1.05,2.74,,,,0,8,Bot,,,,,,,5.95743491007247,-142.85424437495487,-2.261008325453582,-15.78211976770578,34.857017261906975,-16.954778839729915,3.43,1.7,204,72.1,44,99.5,2457,7.1,775337,682626,624413,578428,668901,596019,607043,621438,516782,53.37,,,,,,,,58,6,4-Seam Fastball,2,0,2,0,0,2,2,0,Standard,Standard,226,0.0,0.0,73.8,7.4,,0.0,88.0,2,2,0.942,0.942,30,28,30,29,1,3,3,1,3,,1.28,1.05,1.05,18.8
134,FF,2024-10-03,97.3,-2.3,4.66,"Díaz, Edwin",642715,621242,,foul,,,,,8,Willy Adames strikes out swinging.,F,R,R,MIL,NYM,S,,,2,2,2024,-1.18,1.19,-0.2,2.2,,,,0,8,Bot,,,,,,,8.471207416650685,-141.38223610741608,-3.812945215406556,-17.763200346680204,34.42154808547559,-15.62252720278386,3.43,1.7,188,86.5,66,98.5,2447,7.2,775337,682626,624413,578428,668901,596019,607043,621438,516782,53.3,,,,,,,,58,5,4-Seam Fastball,2,0,2,0,0,2,2,0,Standard,Standard,234,0.0,0.0,81.0,7.9,,0.0,88.0,2,2,0.942,0.942,30,28,30,29,1,3,3,1,3,,1.24,1.18,1.18,15.5
138,SL,2024-10-03,89.4,-2.29,4.92,"Díaz, Edwin",642715,621242,,foul,,,,,7,Willy Adames strikes out swinging.,F,R,R,MIL,NYM,S,,,2,1,2024,0.08,0.45,-0.29,2.2,,,,0,8,Bot,,,,,,,4.80914473755533,-130.2108788216594,-1.726181211265129,-0.034032992833017,25.5540400737902,-26.842543055861313,3.43,1.7,220,96.8,20,90.9,2524,7.0,775337,682626,624413,578428,668901,596019,607043,621438,516782,53.48,,,,,,,,58,4,Slider,2,0,2,0,0,2,2,0,Standard,Standard,189,0.0,-0.062,72.0,9.2,,0.062,96.8,2,2,0.942,0.942,30,28,30,29,1,3,3,1,3,,2.38,-0.08,-0.08,23.4
141,SL,2024-10-03,89.4,-2.27,4.98,"Díaz, Edwin",642715,621242,,swinging_strike,,,,,14,Willy Adames strikes out swinging.,F,R,R,MIL,NYM,S,,,2,0,2024,-0.08,0.53,0.7,1.56,,,,0,8,Bot,,,,,,,7.592317617064252,-130.0656524950411,-3.6059349270513703,-2.441330432789621,25.79890763312649,-25.6006799494325,3.43,1.7,,,,90.7,2597,7.0,775337,682626,624413,578428,668901,596019,607043,621438,516782,53.55,,,,,,,,58,3,Slider,2,0,2,0,0,2,2,0,Standard,Standard,200,0.0,-0.058,84.9,9.6,,0.058,,2,2,0.942,0.942,30,28,30,29,1,3,3,1,3,,2.31,0.08,0.08,24.0
148,FF,2024-10-03,96.5,-2.36,4.58,"Díaz, Edwin",642715,621242,,ball,,,,,13,Willy Adames strikes out swinging.,F,R,R,MIL,NYM,B,,,1,0,2024,-1.46,1.07,-0.49,0.99,,,,0,8,Bot,,,,,,,8.449578199000635,-140.20931274981288,-6.490028297550353,-21.23938030052137,32.337142348143615,-16.699081415237174,3.46,1.72,,,,97.8,2558,7.2,775337,682626,624413,578428,668901,596019,607043,621438,516782,53.33,,,,,,,,58,2,4-Seam Fastball,2,0,2,0,0,2,2,0,Standard,Standard,236,0.0,0.062,,,,-0.062,,2,2,0.942,0.942,30,28,30,29,1,3,3,1,3,,1.39,1.46,1.46,15.0
149,SL,2024-10-03,89.6,-2.18,5.03,"Díaz, Edwin",642715,621242,,ball,,,,,14,Willy Adames strikes out swinging.,F,R,R,MIL,NYM,B,,,0,0,2024,-0.03,0.52,1.68,0.83,,,,0,8,Bot,,,,,,,9.70540583565329,-130.236077361838,-5.595220094611618,-2.1603144676729955,24.273260497099155,-25.292088960107098,3.46,1.72,,,,91.0,2457,6.9,775337,682626,624413,578428,668901,596019,607043,621438,516782,53.57,,,,,,,,58,1,Slider,2,0,2,0,0,2,2,0,Standard,Standard,202,0.0,0.034,,,,-0.034,,2,2,0.942,0.942,30,28,30,29,1,3,3,1,3,,2.3,0.03,0.03,25.2
183,FF,2024-10-03,97.2,-2.44,5.21,"Peralta, Freddy",682626,642547,field_out,hit_into_play,,,,,4,"Francisco Alvarez grounds out sharply, third baseman Joey Ortiz to first baseman Jake Bauers.",F,R,R,MIL,NYM,X,5,ground_ball,2,2,2024,-0.85,1.53,-0.43,2.26,,,,2,8,Top,85.89,149.43,,,,,7.388837073870389,-141.2931539986153,-5.877404735597417,-13.111358792814585,34.28098898183248,-10.58102519965328,3.27,1.52,9,102.3,-14,97.7,2558,6.8,775337,596142,641343,668930,687401,642715,694192,663368,686217,53.74,0.246,0.203,0.0,1,0,0,2,57,5,4-Seam Fastball,2,0,0,2,0,2,0,2,Strategic,Standard,209,0.013,-0.084,84.0,7.6,0.282,0.084,102.3,2,-2,0.929,0.071,28,22,28,23,1,2,2,1,,2,0.9,0.85,0.85,43.9
189,FF,2024-10-03,95.4,-2.78,5.12,"Peralta, Freddy",682626,642547,,swinging_strike,,,,,3,"Francisco Alvarez grounds out sharply, third baseman Joey Ortiz to first baseman Jake Bauers.",F,R,R,MIL,NYM,S,,,2,1,2024,-0.49,1.38,0.56,2.97,,,,2,8,Top,,,,,,,9.92203316196251,-138.53696771177917,-3.10648601460539,-8.561605848087755,31.695323145667206,-13.969115171245704,3.27,1.52,,,,95.8,2410,6.7,775337,596142,641343,668930,687401,642715,694192,663368,686217,53.83,,,,,,,,57,4,4-Seam Fastball,2,0,0,2,0,2,0,2,Strategic,Standard,213,0.0,-0.032,68.4,5.9,,0.032,,2,-2,0.929,0.071,28,22,28,23,1,2,2,1,,2,1.14,0.49,0.49,36.1
197,CH,2024-10-03,89.7,-2.87,4.87,"Peralta, Freddy",682626,642547,,ball,,,,,14,"Francisco Alvarez grounds out sharply, third baseman Joey Ortiz to first baseman Jake Bauers.",F,R,R,MIL,NYM,B,,,1,1,2024,-1.17,0.52,0.09,0.66,,,,2,8,Top,,,,,,,9.858709733828483,-130.18339169461163,-5.544061273706914,-15.35774488402928,27.472646651980003,-25.291277133084584,3.3,1.45,,,,90.3,1713,6.8,775337,596142,641343,668930,687401,642715,694192,663368,686217,53.67,,,,,,,,57,3,Changeup,2,0,0,2,0,2,0,2,Strategic,Standard,241,0.0,0.023,,,,-0.023,,2,-2,0.929,0.071,28,22,28,23,1,2,2,1,,2,2.33,1.17,1.17,33.0
208,SL,2024-10-03,82.8,-2.71,4.89,"Peralta, Freddy",682626,642547,,ball,,,,,14,"Francisco Alvarez grounds out sharply, third baseman Joey Ortiz to first baseman Jake Bauers.",F,R,R,MIL,NYM,B,,,0,1,2024,0.69,0.16,1.89,1.06,,,,2,8,Top,,,,,,,9.224605399841728,-120.3206608194474,-2.5891291171576087,5.07736828786985,22.110174384076597,-30.32355612003251,3.21,1.48,,,,83.7,2487,6.8,775337,596142,641343,668930,687401,642715,694192,663368,686217,53.67,,,,,,,,57,2,Slider,2,0,0,2,0,2,0,2,Strategic,Standard,79,0.0,0.011,,,,-0.011,,2,-2,0.929,0.071,28,22,28,23,1,2,2,1,,2,3.16,-0.69,-0.69,29.2
214,SL,2024-10-03,82.8,-2.86,4.9,"Peralta, Freddy",682626,642547,,foul,,,,,4,"Francisco Alvarez grounds out sharply, third baseman Joey Ortiz to first baseman Jake Bauers.",F,R,R,MIL,NYM,S,,,0,0,2024,0.38,0.08,-0.47,2.19,,,,2,8,Top,,,,,,,4.768861721499502,-120.5535922049804,0.1963875329773741,2.6664774130734084,24.711444779061328,-31.7009952074938,3.27,1.52,4,88.4,-33,83.3,2363,6.7,775337,596142,641343,668930,687401,642715,694192,663368,686217,53.79,,,,,,,,57,1,Slider,2,0,0,2,0,2,0,2,Standard,Standard,84,0.0,-0.016,77.7,7.6,,0.016,88.4,2,-2,0.929,0.071,28,22,28,23,1,2,2,1,,2,3.26,-0.38,-0.38,30.9
218,FF,2024-10-03,95.6,-2.36,5.23,"Peralta, Freddy",621438,642547,field_out,hit_into_play,,,,,8,Tyrone Taylor flies out to right fielder Sal Frelick.,F,R,R,MIL,NYM,X,9,fly_ball,1,2,2024,-0.39,1.51,0.19,1.98,,,,1,8,Top,176.48,76.99,,,,,7.658295023447778,-138.90294915330446,-6.328279961481786,-6.842623858111966,33.629265260803294,-11.430318284837512,3.36,1.62,327,94.1,35,95.8,2440,6.7,775337,596142,641343,668930,687401,642715,694192,663368,686217,53.8,0.069,0.108,0.0,1,0,0,3,56,4,4-Seam Fastball,2,0,0,2,0,2,0,2,Infield shade,Strategic,207,0.023,-0.115,70.8,7.7,0.208,0.115,94.1,2,-2,0.906,0.094,28,30,28,30,1,2,2,1,,2,1.01,0.39,0.39,40.5
229,SL,2024-10-03,82.1,-2.71,4.89,"Peralta, Freddy",621438,642547,,ball,,,,,14,Tyrone Taylor flies out to right fielder Sal Frelick.,F,R,R,MIL,NYM,B,,,0,2,2024,0.66,-0.11,0.72,1.05,,,,1,8,Top,,,,,,,6.52742312635254,-119.38622860083964,-1.910984857179005,5.008664019825245,23.385173127235884,-33.072014741223065,3.3,1.53,,,,82.7,2429,6.7,775337,596142,641343,668930,687401,642715,694192,663368,686217,53.76,,,,,,,,56,3,Slider,2,0,0,2,0,2,0,2,Infield shade,Strategic,75,0.0,0.013,,,,-0.013,,2,-2,0.906,0.094,28,30,28,30,1,2,2,1,,2,3.5,-0.66,-0.66,33.0
242,FF,2024-10-03,96.8,-2.52,5.24,"Peralta, Freddy",621438,642547,,foul,,,,,5,Tyrone Taylor flies out to right fielder Sal Frelick.,F,R,R,MIL,NYM,S,,,0,1,2024,-0.55,1.59,-0.21,2.58,,,,1,8,Top,,,,,,,7.471732616996287,-140.75070256450144,-5.18194004961866,-9.02042872227157,33.17956832411652,-10.001451242524483,3.36,1.62,118,77.7,15,97.3,2563,6.7,775337,596142,641343,668930,687401,642715,694192,663368,686217,53.81,,,,,,,,56,2,4-Seam Fastball,2,0,0,2,0,2,0,2,Standard,Strategic,206,0.0,-0.036,72.6,7.5,,0.036,88.0,2,-2,0.906,0.094,28,30,28,30,1,2,2,1,,2,0.85,0.55,0.55,40.9
248,FF,2024-10-03,95.8,-2.58,5.24,"Peralta, Freddy",621438,642547,,called_strike,,,,,2,Tyrone Taylor flies out to right fielder Sal Frelick.,F,R,R,MIL,NYM,S,,,0,0,2024,-0.51,1.41,-0.07,3.24,,,,1,8,Top,,,,,,,7.810424385398524,-139.2971945036172,-2.8980323687577583,-8.417598670201826,31.68636049020712,-13.303649792142156,3.22,1.29,,,,96.3,2553,6.7,775337,596142,641343,668930,687401,642715,694192,663368,686217,53.83,,,,,,,,56,1,4-Seam Fastball,2,0,0,2,0,2,0,2,Standard,Strategic,212,0.0,-0.023,,,,0.023,,2,-2,0.906,0.094,28,30,28,30,1,2,2,1,,2,1.07,0.51,0.51,39.6
260,FF,2024-10-03,95.4,-2.42,5.19,"Peralta, Freddy",516782,642547,field_out,hit_into_play,,,,,2,"Starling Marte grounds out, second baseman Brice Turang to first baseman Jake Bauers.",F,R,R,MIL,NYM,X,4,ground_ball,1,2,2024,-0.5,1.46,-0.24,3.06,,,,0,8,Top,149.62,149.58,,,,,6.919169753373571,-138.7929020611545,-3.2642444609213666,-7.997058448929346,30.411999839169447,-12.805600211285585,3.53,1.6,84,81.0,4,96.4,2472,6.8,775337,596142,641343,668930,687401,642715,694192,663368,686217,53.68,0.269,0.278,0.0,1,0,0,2,55,4,4-Seam Fastball,2,0,0,2,0,2,0,2,Standard,Standard,206,0.036,-0.167,64.9,5.8,0.305,0.167,88.0,2,-2,0.87,0.13,28,35,28,36,1,2,2,1,,2,1.05,0.5,0.5,41.6
264,SL,2024-10-03,82.2,-2.74,4.94,"Peralta, Freddy",516782,642547,,ball,,,,,14,"Starling Marte grounds out, second baseman Brice Turang to first baseman Jake Bauers.",F,R,R,MIL,NYM,B,,,0,2,2024,0.71,-0.11,0.88,0.43,,,,0,8,Top,,,,,,,6.898089754643291,-119.55432049409474,-3.523473566370237,5.5414690503361586,22.002078406535848,-32.73745215601488,3.41,1.59,,,,83.1,2480,6.8,775337,596142,641343,668930,687401,642715,694192,663368,686217,53.69,,,,,,,,55,3,Slider,2,0,0,2,0,2,0,2,Standard,Standard,65,0.0,0.021,,,,-0.021,,2,-2,0.87,0.13,28,35,28,36,1,2,2,1,,2,3.47,-0.71,-0.71,34.3
276,SL,2024-10-03,82.0,-2.84,4.96,"Peralta, Freddy",516782,642547,,swinging_strike,,,,,14,"Starling Marte grounds out, second baseman Brice Turang to first baseman Jake Bauers.",F,R,R,MIL,NYM,S,,,0,1,2024,0.62,-0.05,1.37,1.61,,,,0,8,Top,,,,,,,8.366777224850505,-119.1935767944351,-0.9404711219936936,4.451170433368041,21.321427830855352,-32.70612899480516,3.53,1.6,,,,82.7,2503,6.7,775337,596142,641343,668930,687401,642715,694192,663368,686217,53.84,,,,,,,,55,2,Slider,2,0,0,2,0,2,0,2,Standard,Standard,61,0.0,-0.049,71.7,8.7,,0.049,,2,-2,0.87,0.13,28,35,28,36,1,2,2,1,,2,3.43,-0.62,-0.62,31.5
285,FF,2024-10-03,94.2,-2.38,5.26,"Peralta, Freddy",516782,642547,,called_strike,,,,,5,"Starling Marte grounds out, second baseman Brice Turang to first baseman Jake Bauers.",F,R,R,MIL,NYM,S,,,0,0,2024,-0.38,1.35,0.25,2.65,,,,0,8,Top,,,,,,,7.729571560573361,-137.0175621690337,-4.126360658515874,-6.472862345171175,28.61708540665463,-14.44611132194182,3.53,1.59,,,,95.1,2408,6.7,775337,596142,641343,668930,687401,642715,694192,663368,686217,53.79,,,,,,,,55,1,4-Seam Fastball,2,0,0,2,0,2,0,2,Standard,Standard,212,0.0,-0.033,,,,0.033,,2,-2,0.87,0.13,28,35,28,36,1,2,2,1,,2,1.21,0.38,0.38,42.2
155,FF,2024-10-03,98.7,-2.25,4.64,"Díaz, Edwin",661388,621242,strikeout,swinging_strike,,,,,6,William Contreras strikes out swinging.,F,R,R,MIL,NYM,S,2,,3,2,2024,-0.93,1.14,0.3,2.43,668930,663368,,2,7,Bot,,,,,,,9.284765246870055,-143.49008880056357,-3.307184170134496,-14.997617300582888,32.43473805203188,-15.76973824994464,3.49,1.66,,,,100.4,2317,7.2,775337,682626,624413,578428,668901,596019,607043,621438,516782,53.28,,0.0,0.0,1,0,0,,54,6,4-Seam Fastball,2,0,2,0,0,2,2,0,Standard,Standard,228,-0.026,-0.541,74.0,7.3,,0.541,,2,2,0.896,0.896,30,26,30,27,1,3,3,1,3,,1.2,0.93,0.93,17.3
159,FF,2024-10-03,98.9,-2.1,4.65,"Díaz, Edwin",661388,621242,,ball,,,,,14,William Contreras strikes out swinging.,F,R,R,MIL,NYM,B,,,2,2,2024,-0.95,1.27,1.18,1.93,668930,663368,,2,7,Bot,,,,,,,11.37114536513511,-143.5623501197544,-5.001372747890253,-15.79440578576904,33.250692896370026,-13.60169379563186,3.43,1.65,,,,100.5,2299,7.3,775337,682626,624413,578428,668901,596019,607043,621438,516782,53.2,,,,,,,,54,5,4-Seam Fastball,2,0,2,0,0,2,2,0,Standard,Standard,233,0.0,0.091,,,,-0.091,,2,2,0.896,0.896,30,26,30,27,1,3,3,1,3,,1.07,0.95,0.95,18.7
164,SL,2024-10-03,90.2,-2.0,4.99,"Díaz, Edwin",661388,621242,,foul,,,,,4,William Contreras strikes out swinging.,F,R,R,MIL,NYM,S,,,2,1,2024,0.34,0.33,-0.32,2.81,668930,663368,,2,7,Bot,,,,,,,3.510259644780616,-131.5315444359653,-0.2381342443994064,3.3200127618386563,24.91237881611117,-28.46668872456374,3.49,1.66,153,93.2,66,92.1,2260,7.1,775337,682626,624413,578428,668901,596019,607043,621438,516782,53.42,,,,,,,,54,4,Slider,2,0,2,0,0,2,2,0,Standard,Standard,151,0.0,-0.12,77.5,7.1,,0.12,93.2,2,2,0.896,0.896,30,26,30,27,1,3,3,1,3,,2.44,-0.34,-0.34,24.2
166,SL,2024-10-03,89.5,-2.17,5.01,"Díaz, Edwin",661388,621242,,called_strike,,,,,6,William Contreras strikes out swinging.,F,R,R,MIL,NYM,S,,,2,0,2024,0.1,0.51,0.61,2.45,668930,663368,,2,7,Bot,,,,,,,6.7259815164621415,-130.2717865346121,-1.4280697718720063,-0.1537849025730681,24.93583677138644,-26.296018199413982,3.49,1.65,,,,90.8,2191,6.9,775337,682626,624413,578428,668901,596019,607043,621438,516782,53.64,,,,,,,,54,3,Slider,2,0,2,0,0,2,2,0,Standard,Standard,195,0.0,-0.055,,,,0.055,,2,2,0.896,0.896,30,26,30,27,1,3,3,1,3,,2.32,-0.1,-0.1,25.0
172,FF,2024-10-03,97.7,-2.36,4.67,"Díaz, Edwin",661388,621242,,ball,,,,,11,William Contreras strikes out swinging.,F,R,R,MIL,NYM,B,,,1,0,2024,-1.01,1.13,-1.36,3.81,,668930,663368,2,7,Bot,,,,,,,5.143068724502312,-142.15872303523102,0.6215035612767956,-14.909059532210945,33.58480419751569,-17.223485700352786,3.67,1.77,,,,99.5,2299,7.4,775337,682626,624413,578428,668901,596019,607043,621438,516782,53.13,,,,,,,,54,2,4-Seam Fastball,2,0,2,0,0,2,2,0,Standard,Standard,229,0.006,0.07,,,,-0.07,,2,2,0.89,0.89,30,26,30,27,1,3,3,1,3,,1.26,1.01,1.01,17.1
175,FF,2024-10-03,98.3,-2.13,4.69,"Díaz, Edwin",661388,621242,,ball,,,,,12,William Contreras strikes out swinging.,F,R,R,MIL,NYM,B,,,0,0,2024,-1.01,1.2,1.74,2.99,,668930,663368,2,7,Bot,,,,,,,13.064639636456551,-142.5673448464397,-1.911269076723088,-16.870377995610397,34.072118253988144,-15.53464519639623,3.55,1.71,,,,99.8,2325,7.4,775337,682626,624413,578428,668901,596019,607043,621438,516782,53.14,,,,,,,,54,1,4-Seam Fastball,2,0,2,0,0,2,2,0,Standard,Standard,236,0.0,0.042,,,,-0.042,,2,2,0.89,0.89,30,26,30,27,1,3,3,1,3,,1.18,1.01,1.01,19.7
178,FF,2024-10-03,99.0,-2.18,4.77,"Díaz, Edwin",663368,621242,walk,ball,,,,,11,Blake Perkins walks.,F,L,R,MIL,NYM,B,,,3,1,2024,-0.94,1.27,-0.04,3.85,,668930,,2,7,Bot,,,,,,,8.147162860416868,-143.91172590044317,0.0047780609960143,-14.933636640227826,35.02474444366376,-14.777520531090657,3.64,1.73,,,,100.3,2355,7.2,775337,682626,624413,578428,668901,596019,607043,621438,516782,53.35,,0.689131,0.7,1,0,0,,53,5,4-Seam Fastball,2,0,2,0,0,2,2,0,Standard,Standard,231,0.003,0.062,,,,-0.062,,2,2,0.887,0.887,30,27,30,28,1,3,3,1,3,,1.07,0.94,-0.94,21.3
186,FF,2024-10-03,97.5,-2.3,4.68,"Díaz, Edwin",663368,621242,,ball,,,,,11,Blake Perkins walks.,F,L,R,MIL,NYM,B,,,2,1,2024,-1.05,1.31,-2.02,3.92,,668930,,2,7,Bot,,,,,,,3.215371619893137,-141.9871662434038,0.4761068318969726,-14.96207152207796,34.61875929393827,-14.867409191684898,3.64,1.79,,,,98.7,2460,7.1,775337,682626,624413,578428,668901,596019,607043,621438,516782,53.45,,,,,,,,53,4,4-Seam Fastball,2,0,2,0,0,2,2,0,Standard,Standard,225,0.0,0.05,,,,-0.05,,2,2,0.887,0.887,30,27,30,28,1,3,3,1,3,,1.1,1.05,-1.05,16.9
194,FF,2024-10-03,98.9,-2.18,4.73,"Díaz, Edwin",663368,621242,,called_strike,,,,,1,Blake Perkins walks.,F,L,R,MIL,NYM,S,,,2,0,2024,-1.17,1.21,-0.71,3.04,,668930,,2,7,Bot,,,,,,,6.8412841590812175,-143.8134238765923,-1.957575578566809,-17.836364990786684,36.29090221990012,-15.280608458261373,3.52,1.67,,,,100.3,2415,7.3,775337,682626,624413,578428,668901,596019,607043,621438,516782,53.22,,,,,,,,53,3,4-Seam Fastball,2,0,2,0,0,2,2,0,Standard,Standard,231,0.0,-0.031,,,,0.031,,2,2,0.887,0.887,30,27,30,28,1,3,3,1,3,,1.14,1.17,-1.17,20.0
202,FF,2024-10-03,97.5,-2.15,4.8,"Díaz, Edwin",663368,621242,,ball,,,,,11,Blake Perkins walks.,F,L,R,MIL,NYM,B,,,1,0,2024,-1.06,1.21,-0.65,3.96,,668930,,2,7,Bot,,,,,,,6.600146018593762,-141.83283769001793,0.5229480600742269,-15.89212282962546,34.622332251561964,-16.333157036340953,3.52,1.73,,,,98.9,2438,7.2,775337,682626,624413,578428,668901,596019,607043,621438,516782,53.25,,,,,,,,53,2,4-Seam Fastball,2,0,2,0,0,2,2,0,Standard,Standard,227,0.0,0.026,,,,-0.026,,2,2,0.887,0.887,30,27,30,28,1,3,3,1,3,,1.21,1.06,-1.06,18.1
209,FF,2024-10-03,97.5,-2.33,4.72,"Díaz, Edwin",663368,621242,,ball,,,,,1,Blake Perkins walks.,F,L,R,MIL,NYM,B,,,0,0,2024,-1.1,1.2,-0.71,3.49,,668930,,2,7,Bot,,,,,,,7.017554239094495,-141.74589974516832,-0.5142305501823161,-16.512287674818637,34.472568040681175,-16.130192619741628,3.59,1.71,,,,99.0,2386,7.3,775337,682626,624413,578428,668901,596019,607043,621438,516782,53.19,,,,,,,,53,1,4-Seam Fastball,2,0,2,0,0,2,2,0,Standard,Standard,228,0.0,0.016,,,,-0.016,,2,2,0.887,0.887,30,27,30,28,1,3,3,1,3,,1.21,1.1,-1.1,20.0
215,SL,2024-10-03,89.7,-2.2,5.09,"Díaz, Edwin",694192,621242,field_out,hit_into_play,,,,,13,Jackson Chourio flies out to left fielder Brandon Nimmo.,F,R,R,MIL,NYM,X,7,fly_ball,2,1,2024,0.18,0.4,-0.89,2.09,,668930,,1,7,Bot,79.92,119.93,,,,,2.896777163095153,-130.7720002129717,-2.404400708100532,1.558764816044071,23.46478378044306,-27.32688893856022,3.3,1.57,228,70.2,43,91.2,2313,6.8,775337,682626,624413,578428,668901,596019,607043,621438,516782,53.72,0.371,0.383,0.0,1,0,0,3,52,4,Slider,2,0,2,0,0,2,2,0,Standard,Standard,196,-0.016,-0.349,82.5,8.0,0.47,0.349,88.0,2,2,0.903,0.903,30,20,30,20,1,3,3,1,3,,2.39,-0.18,-0.18,24.4
221,SL,2024-10-03,89.2,-2.06,5.15,"Díaz, Edwin",694192,621242,,foul_tip,,,,,6,Jackson Chourio flies out to left fielder Brandon Nimmo.,F,R,R,MIL,NYM,S,,,2,0,2024,0.2,0.49,0.72,2.15,,668930,,1,7,Bot,,,,,,,6.4726875811683335,-129.90630778836183,-2.447027875601653,1.045383024474492,25.34189955050715,-26.28115624281902,3.3,1.57,,,,90.4,2271,6.9,775337,682626,624413,578428,668901,596019,607043,621438,516782,53.65,,,,,,,,52,3,Slider,2,0,2,0,0,2,2,0,Standard,Standard,164,0.0,-0.057,76.5,8.0,,0.057,,2,2,0.903,0.903,30,20,30,20,1,3,3,1,3,,2.35,-0.2,-0.2,26.3
231,FF,2024-10-03,97.9,-2.19,4.83,"Díaz, Edwin",694192,621242,,ball,,,,,11,Jackson Chourio flies out to left fielder Brandon Nimmo.,F,R,R,MIL,NYM,B,,,1,0,2024,-1.33,0.97,-1.16,3.84,,668930,,1,7,Bot,,,,,,,5.9668725317884785,-142.36429816904968,0.6262349010838354,-19.47390805247829,34.844330005021355,-19.41219477609505,3.3,1.56,,,,99.0,2379,7.1,775337,682626,624413,578428,668901,596019,607043,621438,516782,53.39,,,,,,,,52,2,4-Seam Fastball,2,0,2,0,0,2,2,0,Standard,Standard,229,0.0,0.051,,,,-0.051,,2,2,0.903,0.903,30,20,30,20,1,3,3,1,3,,1.42,1.33,1.33,16.9
236,FF,2024-10-03,97.8,-2.32,4.81,"Díaz, Edwin",694192,621242,,ball,,,,,11,Jackson Chourio flies out to left fielder Brandon Nimmo.,F,R,R,MIL,NYM,B,,,0,0,2024,-1.36,0.96,-0.88,3.5,,,668930,1,7,Bot,,,,,,,7.131144353774604,-142.242525496058,-0.2275801009363216,-20.1510778694037,33.892931056024246,-19.37731976599159,3.11,1.5,,,,99.0,2389,7.1,775337,682626,624413,578428,668901,596019,607043,621438,516782,53.43,,,,,,,,52,1,4-Seam Fastball,2,0,2,0,0,2,2,0,Standard,Standard,234,0.009,0.043,,,,-0.043,,2,2,0.894,0.894,30,20,30,20,1,3,3,1,3,,1.44,1.36,1.36,19.8
249,SL,2024-10-03,89.4,-2.26,5.03,"Díaz, Edwin",668930,621242,walk,ball,,,,,14,Brice Turang walks.,F,L,R,MIL,NYM,B,,,3,1,2024,0.15,0.42,0.68,1.28,,,,1,7,Bot,,,,,,,7.008528906551104,-130.06164122968494,-4.1719358504386985,0.2797141481444218,26.6927813103182,-26.76348715773521,3.49,1.73,,,,90.6,2329,7.0,775337,682626,624413,578428,668901,596019,607043,621438,516782,53.52,,0.689131,0.7,1,0,0,,51,5,Slider,2,0,2,0,0,2,2,0,Standard,Strategic,152,0.011,0.162,,,,-0.162,,2,2,0.883,0.883,30,24,30,25,1,2,3,1,3,,2.43,-0.15,0.15,23.3
252,FF,2024-10-03,96.6,-2.44,4.72,"Díaz, Edwin",668930,621242,,ball,,,,,13,Brice Turang walks.,F,L,R,MIL,NYM,B,,,2,1,2024,-1.26,1.18,-2.44,2.54,,,,1,7,Bot,,,,,,,2.9307500429696507,-140.62173595255095,-2.949600759068067,-17.370525262843213,34.63336208377804,-16.100085707168635,3.49,1.85,,,,98.0,2368,7.2,775337,682626,624413,578428,668901,596019,607043,621438,516782,53.27,,,,,,,,51,4,4-Seam Fastball,2,0,2,0,0,2,2,0,Standard,Strategic,234,0.0,0.077,,,,-0.077,,2,2,0.883,0.883,30,24,30,25,1,2,3,1,3,,1.28,1.26,-1.26,17.2
